iter	RMSE
280	1.89791035
281	1.896616358
282	1.895777234
283	1.894543762
284	1.893795806
285	1.89201796
286	1.891633067
287	1.890223063
288	1.888590652
289	1.887828064
290	1.886794147
291	1.885897178
292	1.885401502
293	1.883837247
294	1.882434002
295	1.88166816
296	1.880256478
297	1.879584534
298	1.878682139
299	1.877522209
300	1.87590456
301	1.875047065
302	1.873486393
303	1.872727627
304	1.871972397
305	1.871314522
306	1.870612043
307	1.869970776
308	1.868286343
309	1.867782062
310	1.867027066
311	1.86586772
312	1.865334169
313	1.864761093
314	1.863865774
315	1.863160581
316	1.862584315
317	1.861453739
318	1.86056482
319	1.859385912
320	1.858219833
321	1.857380231
322	1.856676519
323	1.855949285
324	1.855568652
325	1.854930617
326	1.853885103
327	1.852974272
328	1.852299262
329	1.850892719
330	1.850204112
331	1.849290248
332	1.848002473
333	1.847155108
334	1.846428335
335	1.845544769
336	1.844473132
337	1.843983366
338	1.84235964
339	1.841511241
340	1.841039705
341	1.840159816
342	1.839730631
343	1.839097123
344	1.838060952
345	1.837039142
346	1.835949973
347	1.835480159
348	1.83418062
349	1.833420677
350	1.832944744
351	1.831772333
352	1.831331097
353	1.830993681
354	1.830638171
355	1.829866825
356	1.829499214
357	1.828651661
358	1.827130838
359	1.825810685
360	1.825271908
361	1.824515241
362	1.823673741
363	1.822687302
364	1.821903276
365	1.820840533
366	1.819975586
367	1.818647592
368	1.818012154
369	1.817397903
370	1.816478504
371	1.815951388
372	1.815158976
373	1.814502967
374	1.813509884
375	1.812815352
376	1.811837733
377	1.811368667
378	1.810176371
379	1.809498015
380	1.808424397
381	1.807756968
382	1.806305422
383	1.805311178
384	1.804807417
385	1.804468241
386	1.803986692
387	1.803507145
388	1.802463232
389	1.802186697
390	1.801689423
391	1.800890473
392	1.79990692
393	1.799077653
394	1.798345926
395	1.797678109
396	1.797308438
397	1.796420258
398	1.795664985
399	1.794869677
400	1.793711242
401	1.792947249
402	1.792284036
403	1.791718888
404	1.791368006
405	1.790736968
406	1.789750339
407	1.789029426
408	1.787934979
409	1.786711906
410	1.785800865
411	1.784693716
412	1.784260676
413	1.783707603
414	1.782822347
415	1.782035707
416	1.781775122
417	1.780876217
418	1.780070954
419	1.779325549
420	1.778528041
421	1.777825616
422	1.776830586
423	1.776380189
424	1.775476796
425	1.774981026
426	1.774145529
427	1.773492296
428	1.772908664
429	1.771790845
430	1.770744512
431	1.76975764
432	1.768985643
433	1.767932153
434	1.767024692
435	1.766220288
436	1.76621233
437	1.76593996
438	1.764859309
439	1.764388432
440	1.763408426
441	1.762844703
442	1.76222577
443	1.761939855
444	1.760625204
445	1.760027772
446	1.758873351
447	1.758865631
448	1.758277389
449	1.757078983
450	1.756381857
451	1.755972709
452	1.754914385
453	1.75395568
454	1.753516845
455	1.752970433
456	1.752420906
457	1.752050035
458	1.75153257
459	1.750808498
460	1.750205171
461	1.750197702
462	1.749371598
463	1.748602692
464	1.74858953
465	1.748017697
466	1.747240069
467	1.746557079
468	1.746009928
469	1.745471919
470	1.744496755
471	1.743865211
472	1.743345811
473	1.742338267
474	1.741299554
475	1.741106643
476	1.740613205
477	1.739976869
478	1.739886009
479	1.73912952
480	1.738389265
481	1.737726503
482	1.737362359
483	1.736863229
484	1.736530934
485	1.736149301
486	1.73538756
487	1.735377357
488	1.734689687
489	1.734223893
490	1.733457101
491	1.732490419
492	1.731584237
493	1.731284774
494	1.730616036
495	1.729982448
496	1.729223095
497	1.728707059
498	1.728697391
499	1.728158386
500	1.727747571
501	1.727191127
502	1.726546729
503	1.725664375
504	1.724937334
505	1.724304467
506	1.723758472
507	1.723484468
508	1.723031666
509	1.722276746
510	1.72164016
511	1.721164655
512	1.720240516
513	1.719534633
514	1.719329844
515	1.718756447
516	1.718452558
517	1.71776764
518	1.717489721
519	1.717078972
520	1.716306923
521	1.715159315
522	1.714813855
523	1.714235745
524	1.713990064
525	1.71359184
526	1.713035699
527	1.712677187
528	1.712140887
529	1.71148848
530	1.711047603
531	1.710642764
532	1.710210158
533	1.70930703
534	1.708964489
535	1.708393949
536	1.708034223
537	1.707257466
538	1.706295802
539	1.705768822
540	1.705480148
541	1.705141648
542	1.704851542
543	1.703920495
544	1.703914139
545	1.703649013
546	1.703107304
547	1.702361617
548	1.701422655
549	1.70088477
550	1.700274166
551	1.699875809
552	1.699569547
553	1.698604875
554	1.697954325
555	1.697310558
556	1.696879087
557	1.696397091
558	1.696175962
559	1.69564182
560	1.695310681
561	1.694247867
562	1.693673446
563	1.693260166
564	1.692669438
565	1.692336801
566	1.691708725
567	1.691116114
568	1.690750584
569	1.689808967
570	1.689191601
571	1.688832953
572	1.687954835
573	1.687704328
574	1.687045306
575	1.686509692
576	1.686078615
577	1.685608916
578	1.685515272
579	1.684680576
580	1.684293463
581	1.683385515
582	1.683024969
583	1.6819799
584	1.681315282
585	1.680798939
586	1.680016493
587	1.679217158
588	1.678711892
589	1.678357005
590	1.677932488
591	1.677295694
592	1.676718895
593	1.676534147
594	1.676002561
595	1.675442738
596	1.674752165
597	1.673915158
598	1.673601744
599	1.673239721
600	1.672023609
601	1.671434602
602	1.67117597
603	1.670828691
604	1.670471706
605	1.670061942
606	1.669605288
607	1.668864752
608	1.668532638
609	1.667864183
610	1.667402713
611	1.666696684
612	1.666511849
613	1.665772278
614	1.66523762
615	1.664402251
616	1.663777932
617	1.662826735
618	1.66252983
619	1.662121878
620	1.661810603
621	1.661076936
622	1.660605009
623	1.660094885
624	1.659899833
625	1.659222144
626	1.658886536
627	1.658880659
628	1.658531601
629	1.658258625
630	1.657650586
631	1.657154601
632	1.656584344
633	1.655958108
634	1.655455853
635	1.655014521
636	1.654199905
637	1.653689217
638	1.653176632
639	1.652917113
640	1.652730481
641	1.652350517
642	1.651931252
643	1.651541172
644	1.650699557
645	1.650230001
646	1.649745873
647	1.649570209
648	1.648954878
649	1.648671671
650	1.648665969
651	1.647971374
652	1.647688223
653	1.647085848
654	1.646262804
655	1.64613408
656	1.645604581
657	1.645059464
658	1.644612772
659	1.644605943
660	1.644507009
661	1.644062242
662	1.643553807
663	1.643254277
664	1.642784622
665	1.642241877
666	1.641661264
667	1.641117689
668	1.640317033
669	1.639730475
670	1.63918964
671	1.63870893
672	1.638702638
673	1.637938215
674	1.637743306
675	1.637059113
676	1.636429711
677	1.635899466
678	1.635165861
679	1.634780046
680	1.634775114
681	1.634315073
682	1.634030709
683	1.633621302
684	1.633126286
685	1.632903419
686	1.632111003
687	1.631845948
688	1.631363676
689	1.630969395
690	1.630433432
691	1.630319197
692	1.629976524
693	1.629562992
694	1.629416533
695	1.628735795
696	1.628672923
697	1.62814277
698	1.627602536
699	1.627198236
700	1.626728929
701	1.62616852
702	1.62616391
703	1.625891118
704	1.625558561
705	1.625554132
706	1.624903734
707	1.624508573
708	1.623846601
709	1.62309092
710	1.622197965
711	1.62185732
712	1.62149668
713	1.621219543
714	1.62083024
715	1.620231264
716	1.619338846
717	1.618677422
718	1.618072038
719	1.617866595
720	1.617619631
721	1.617323539
722	1.616741489
723	1.616390123
724	1.616154536
725	1.615917809
726	1.615642106
727	1.615417949
728	1.614953184
729	1.61468973
730	1.613915504
731	1.613407304
732	1.612854989
733	1.611900884
734	1.611507656
735	1.611370313
736	1.61107086
737	1.610639452
738	1.610348923
739	1.610146434
740	1.609878169
741	1.609527164
742	1.608856113
743	1.608109763
744	1.607635296
745	1.607329845
746	1.606948029
747	1.60638597
748	1.605972184
749	1.605339942
750	1.604823585
751	1.604254665
752	1.603733946
753	1.603582771
754	1.602981158
755	1.602323952
756	1.60199123
757	1.601416635
758	1.600567148
759	1.600189763
760	1.599997946
761	1.599593336
762	1.599368085
763	1.599271545
764	1.598681066
765	1.598126261
766	1.597525474
767	1.597157169
768	1.596530224
769	1.595801033
770	1.595314784
771	1.594849614
772	1.594079156
773	1.593606458
774	1.593488693
775	1.593094458
776	1.592490852
777	1.591642885
778	1.590846646
779	1.590487969
780	1.589873353
781	1.589326233
782	1.588869982
783	1.588672135
784	1.588283609
785	1.587670789
786	1.587104146
787	1.586538769
788	1.585797804
789	1.585339986
790	1.584639984
791	1.584263677
792	1.583756139
793	1.583317825
794	1.583179036
795	1.582771611
796	1.58236418
797	1.581685948
798	1.580906298
799	1.580264839
800	1.579869653
801	1.578817669
802	1.578219259
803	1.577405432
804	1.576908891
805	1.576204356
806	1.575604789
807	1.574962331
808	1.574474684
809	1.573969849
810	1.573589012
811	1.573106548
812	1.572797855
813	1.572488323
814	1.572028056
815	1.571392136
816	1.570960508
817	1.570955868
818	1.570476852
819	1.570085559
820	1.569825646
821	1.569125157
822	1.568270108
823	1.567743189
824	1.567178331
825	1.566409074
826	1.566126319
827	1.565683289
828	1.565170583
829	1.564617289
830	1.563870227
831	1.56320003
832	1.562790695
833	1.562353685
834	1.561541181
835	1.560948065
836	1.560535448
837	1.560202741
838	1.559641778
839	1.55954796
840	1.558894205
841	1.558392424
842	1.557991944
843	1.557587854
844	1.55712115
845	1.556477205
846	1.556077959
847	1.555388345
848	1.554844654
849	1.55435888
850	1.55435477
851	1.553867802
852	1.553558846
853	1.552898511
854	1.552445288
855	1.551994349
856	1.551715686
857	1.551505388
858	1.550891655
859	1.550294062
860	1.54991838
861	1.549577819
862	1.5491419
863	1.548686326
864	1.54833803
865	1.547666745
866	1.547061066
867	1.546838857
868	1.54630825
869	1.545751378
870	1.545530386
871	1.544986093
872	1.544651725
873	1.544290847
874	1.543800932
875	1.543136091
876	1.543019668
877	1.542712724
878	1.542297313
879	1.5421272
880	1.541514749
881	1.541125744
882	1.540754832
883	1.540223291
884	1.539668017
885	1.539332343
886	1.538853934
887	1.538648227
888	1.537888861
889	1.537532813
890	1.537058704
891	1.536614653
892	1.535985595
893	1.535680879
894	1.53525518
895	1.534598395
896	1.534134469
897	1.533686948
898	1.533555432
899	1.533338683
900	1.53300328
901	1.532791638
902	1.532438591
903	1.532070135
904	1.531771098
905	1.531539321
906	1.531212253
907	1.531157499
908	1.530732415
909	1.530103768
910	1.529591117
911	1.529315736
912	1.528769146
913	1.528477234
914	1.527946817
915	1.527442986
916	1.526782517
917	1.526551089
918	1.526150582
919	1.525519487
920	1.524728801
921	1.524520492
922	1.524071598
923	1.523478843
924	1.523204029
925	1.522797713
926	1.522399973
927	1.522020654
928	1.521451089
929	1.521179512
930	1.520729204
931	1.520505318
932	1.519914453
933	1.519573328
934	1.519194159
935	1.518642292
936	1.518412681
937	1.51805234
938	1.517647582
939	1.517439587
940	1.51709117
941	1.516706477
942	1.516380388
943	1.51611636
944	1.515643018
945	1.515059781
946	1.514450704
947	1.514115275
948	1.513599933
949	1.51325005
950	1.512697408
951	1.512410317
952	1.512166215
953	1.512091259
954	1.511866655
955	1.511509681
956	1.511033467
957	1.510594297
958	1.509933726
959	1.509552926
960	1.509027728
961	1.508527027
962	1.508118807
963	1.507711604
964	1.507047164
965	1.506438053
966	1.506017582
967	1.505411771
968	1.505099285
969	1.504567485
970	1.50415765
971	1.503646926
972	1.503167911
973	1.502770905
974	1.502530402
975	1.502182803
976	1.501518547
